fecha,centro,almacen,pendientes,lineas
2026-08-10,4010,BL01,10,10
2026-08-10,4010,EX01,1,1
2026-08-10,4010,EX02,1,3
2026-08-10,4010,IG01,1,1
2026-08-10,4010,LI01,1,2
2026-08-10,4010,MP03,1,1
2026-08-10,4010,MP04,2,15
2026-08-10,4010,PR01,4,27
2026-08-10,4010,PR02,11,291
2026-08-10,4010,PR03,1,1
2026-08-10,4010,PR04,8,52
2026-08-10,4010,PR06,6,94
2026-08-10,4010,PR07,3,12
2026-08-10,4010,PR08,1,14
2026-08-10,4010,PR10,11,68
2026-08-10,4010,PR11,5,9
2026-08-10,4010,PR14,2,51
2026-08-10,4010,PR15,3,38
2026-08-10,4010,PR17,18,60
2026-08-10,4010,PR18,1,2
2026-08-10,4020,MP01,4,7
2026-08-10,4020,PR01,2,27
2026-08-10,4020,PR02,5,31
2026-08-10,4020,PT01,19,126
2026-08-10,4120,EX01,3,5
2026-08-10,4120,EX02,3,7
2026-08-10,4120,IG01,15,143
2026-08-10,4120,LI01,1,1
2026-08-10,4120,LI03,1,8
2026-08-10,4120,LI06,1,1
2026-08-10,4120,MP01,6,7
2026-08-10,4120,PT01,89,2265
2026-08-10,4130,A114,1,18
2026-08-10,4130,LI01,16,285
2026-08-10,4130,LI06,1,11
2026-08-10,4130,PT01,1,2
2026-08-10,4704,PT01,2,34
2026-08-10,4705,A702,2,6
2026-08-10,4705,A703,2,7
2026-08-10,4705,A706,2,38
2026-08-10,4705,A707,2,34
2026-08-10,4705,A708,2,16
2026-08-10,4705,A709,1,3
2026-08-10,4705,A710,1,4
2026-08-10,4707,PT01,10,153
2026-08-10,4708,A731,1,6
2026-08-10,4708,A732,1,11
2026-08-10,4708,A733,2,15
2026-08-10,4708,A734,2,19
2026-08-10,4708,A735,1,6
2026-08-10,4708,A736,2,23
2026-08-10,4708,A742,2,16
2026-08-11,4010,BL01,10,10
2026-08-11,4010,EX01,1,1
2026-08-11,4010,EX02,1,3
2026-08-11,4010,IG01,1,1
2026-08-11,4010,LI01,1,2
2026-08-11,4010,MP03,3,28
2026-08-11,4010,MP04,1,10
2026-08-11,4010,PR01,2,12
2026-08-11,4010,PR02,15,431
2026-08-11,4010,PR03,1,1
2026-08-11,4010,PR04,11,74
2026-08-11,4010,PR06,12,179
2026-08-11,4010,PR07,5,30
2026-08-11,4010,PR08,3,43
2026-08-11,4010,PR10,14,122
2026-08-11,4010,PR11,4,10
2026-08-11,4010,PR14,4,104
2026-08-11,4010,PR15,3,38
2026-08-11,4010,PR17,18,60
2026-08-11,4010,PR18,1,2
2026-08-11,4020,MP01,4,7
2026-08-11,4020,PR01,2,27
2026-08-11,4020,PR02,5,31
2026-08-11,4020,PT01,19,126
2026-08-11,4120,EX01,3,5
2026-08-11,4120,EX02,3,7
2026-08-11,4120,IG01,15,143
2026-08-11,4120,LI01,1,1
2026-08-11,4120,LI03,1,8
2026-08-11,4120,LI06,1,1
2026-08-11,4120,MP01,6,9
2026-08-11,4120,PT01,91,2318
2026-08-11,4130,A114,1,18
2026-08-11,4130,LI01,15,276
2026-08-11,4130,LI06,1,11
2026-08-11,4130,PT01,1,2
2026-08-11,4703,A774,1,18
2026-08-11,4703,A775,2,23
2026-08-11,4703,A776,1,10
2026-08-11,4703,PT01,2,16
2026-08-11,4704,A536,1,3
2026-08-11,4704,A537,1,8
2026-08-11,4704,A538,1,13
2026-08-11,4704,A539,2,24
2026-08-11,4704,A540,1,17
2026-08-11,4704,PT01,4,41
2026-08-11,4705,A702,3,28
2026-08-11,4705,A703,3,27
2026-08-11,4705,A706,3,50
2026-08-11,4705,A707,3,49
2026-08-11,4705,A708,3,35
2026-08-11,4705,A709,2,19
2026-08-11,4705,A710,2,26
2026-08-11,4705,PT01,2,5
2026-08-11,4707,A502,1,9
2026-08-11,4707,A503,2,22
2026-08-11,4707,A504,2,22
2026-08-11,4707,A505,1,14
2026-08-11,4707,A506,1,16
